     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
07.03.2018; ; 5;30;28;35;24;42;--;--;1;8046998;735161; 21.621.589,00;   Jackpot; 4.243.680,80;   Jackpot;   824.961,20;        27;    15.277,00;       287;     4.311,60;     1.443;       285,80;    15.184;        54,30;    29.435;        28,00;   308.687;        12,00;   235.480;         5,00
10.03.2018; ;40;34; 8;49;35;19;--;--;8;3230210;750910; 45.519.638,00;   Jackpot; 7.156.937,60;         1; 2.501.305,90;        74;    11.326,60;       515;     4.882,50;     3.910;       214,30;    31.396;        53,30;    77.066;        21,70;   641.541;        11,70;   616.623;         5,00
14.03.2018; ;18;48;13;38;30;45;--;--;7;9777650;399230; 22.431.225,00;   Jackpot; 8.592.536,00;         1;   810.654,90;        42;     9.650,60;       387;     3.142,00;     2.423;       167,20;    18.530;        43,70;    44.209;        18,30;   338.744;        10,70;   334.693;         5,00
17.03.2018; ; 7;29; 1;22;17;46;--;--;7;1035933;765159; 46.548.041,00;   Jackpot;11.571.610,60;         4;   412.480,50;       111;     7.432,00;       873;     2.834,90;     6.033;       136,70;    42.666;        38,60;   108.736;        15,10;   764.599;         9,70;   759.145;         5,00
21.03.2018; ;38;48;26;29;20;43;--;--;0;3040682;035937; 23.909.513,00;         1;14.033.931,60;        --;           --;        26;    17.925,20;       285;     4.905,80;     1.430;       325,90;    16.681;        55,80;    28.230;        33,00;   339.208;        12,30;   220.685;         5,00
24.03.2018; ;16;27;34; 3;42;45;--;--;1;8041248;168173; 44.248.614,00;   Jackpot; 2.831.911,20;         3;   563.506,30;        63;    13.416,80;       686;     3.696,40;     3.147;       268,50;    34.252;        49,30;    60.187;        28,00;   643.164;        11,80;   477.441;         5,00
28.03.2018; ; 1;47;31;38;23;25;--;--;7;8532336;842563; 21.535.631,00;         2; 2.490.205,50;        --;           --;        26;    14.811,90;       298;     3.876,90;     2.027;       189,90;    16.145;        47,70;    42.265;        18,20;   325.286;        10,60;   337.468;         5,00
31.03.2018; ;15; 8; 1;46;12;48;--;--;5;8971378;638448; 46.187.773,00;   Jackpot; 2.956.017,40;         2;   849.924,40;        63;    13.490,80;       555;     4.594,10;     3.738;       227,30;    30.619;        55,50;    76.724;        22,10;   613.455;        12,40;   627.876;         5,00
04.04.2018; ;33;46;13;30;28;23;--;--;7;8909487;031983; 20.916.165,00;   Jackpot; 4.294.651,90;         1;   755.815,70;        41;     9.217,20;       365;     3.106,00;     2.529;       149,40;    19.093;        39,50;    43.060;        17,50;   324.945;        10,40;   312.258;         5,00
07.04.2018; ;12;27;47;19;34;15;--;--;8;3078036;357581; 44.382.918,00;         1; 7.135.158,60;         1; 1.619.838,20;        57;    14.209,10;       564;     4.308,00;     3.942;       205,40;    32.684;        49,50;    79.698;        20,30;   663.318;        10,90;   630.514;         5,00
